poliza;sexo;sri;gdi;sin;ant_comp;ant_perm;edad;ant_veh
80174335;M;No Urbana;SI;2;0;8;67;2009
80175526;M;No Urbana;SI;0;0;8;67;2009
80172687;M;Urbana;SI;5;3;3;67;2009
1434102;F;Urbana;NO;1;0;4;54;2008
1435743;F;Urbana;NO;1;3;7;55;2006
1433824;M;No Urbana;NO;0;3;6;66;2007
1434173;M;No Urbana;SI;0;4;5;57;2008
1433620;F;Urbana;SI;2;3;14;55;2006
1433504;M;No Urbana;SI;4;4;14;70;2008
1431915;F;No Urbana;SI;4;4;13;55;2006
80174886;M;Urbana;SI;3;0;12;57;2008
1431968;M;Urbana;SI;2;0;9;66;2007
80172893;F;Urbana;SI;3;5;1;66;2008
80173151;M;No Urbana;SI;5;2;13;34;2008
80174171;F;No Urbana;SI;0;4;7;65;2008
80173574;F;No Urbana;SI;0;0;15;76;2008
80173434;F;No Urbana;NO;2;4;15;55;2006
80172293;F;No Urbana;SI;3;1;5;65;2008
80173735;M;Urbana;SI;3;5;0;57;2008
1430681;M;No Urbana;SI;3;5;2;66;2007
80172991;M;No Urbana;SI;0;1;6;36;2002
1435195;M;Urbana;SI;5;5;15;60;1987
80175624;M;No Urbana;SI;5;3;14;60;1987
80174331;M;Urbana;NO;5;3;4;60;1987
1434014;M;No Urbana;NO;5;1;14;48;2007
1434535;F;No Urbana;NO;3;5;10;55;2005
80174683;M;No Urbana;SI;4;0;13;48;2007
1432441;F;Urbana;SI;5;0;9;55;2005
1431075;F;Urbana;SI;0;2;5;55;2005
80173408;M;No Urbana;SI;3;4;8;48;2007
1436095;F;Urbana;NO;5;4;7;59;2008
1434098;F;Urbana;SI;5;2;12;70;2007
1434743;F;No Urbana;SI;0;1;0;65;2008
1433946;F;Urbana;NO;4;1;15;59;2008
80174834;F;No Urbana;NO;3;3;4;59;2008
80174884;F;Urbana;NO;2;0;14;70;2007
80172879;F;No Urbana;NO;4;5;1;62;2007
80173753;F;No Urbana;SI;2;4;7;70;2007
80173768;F;No Urbana;NO;1;5;9;59;2008
80172922;M;Urbana;SI;3;4;9;59;2001
1436230;M;No Urbana;SI;2;5;5;55;2010
1436165;M;No Urbana;SI;5;5;1;47;2011
1434583;M;Urbana;NO;0;0;4;47;2005
1435318;M;No Urbana;SI;0;0;9;56;2001
1436096;M;No Urbana;NO;5;3;5;54;2004
1436148;M;Urbana;NO;2;4;6;46;2007
1435277;M;Urbana;SI;1;2;0;70;2004
1435115;F;Urbana;SI;0;5;10;40;2010
1435164;M;No Urbana;NO;0;2;13;68;2011
1433045;M;No Urbana;SI;0;0;5;31;2008
1435818;M;No Urbana;SI;1;0;2;44;2001
1435815;F;No Urbana;NO;0;4;10;55;2005
1435814;M;No Urbana;NO;0;3;8;51;2004
1435797;M;Urbana;NO;0;0;8;55;2011
1434351;M;Urbana;SI;1;1;1;47;2012
1435352;M;Urbana;NO;5;3;2;44;2010
1436009;M;Urbana;SI;1;2;4;27;2016
1435286;M;Urbana;NO;5;3;5;54;2008
1435320;M;No Urbana;NO;3;3;3;44;2007
1433574;F;No Urbana;SI;5;0;12;70;2001
1434488;M;Urbana;SI;1;2;15;60;2001
1432755;M;No Urbana;SI;4;4;11;52;2005
80175494;M;No Urbana;NO;4;1;4;56;2001
1432836;M;No Urbana;NO;2;3;10;68;2011
80175393;M;No Urbana;NO;0;1;3;47;2001
80174905;M;Urbana;SI;5;3;14;64;2002
80175055;M;No Urbana;SI;3;4;9;60;2001
1435949;M;No Urbana;NO;0;5;7;44;2017
80175219;M;Urbana;SI;0;0;5;55;2001
80175217;M;Urbana;NO;1;4;3;54;2001
80174226;M;Urbana;NO;0;0;6;56;2001
80174717;M;Urbana;NO;0;4;4;42;2002
80174629;F;Urbana;SI;5;5;8;70;2001
1432535;M;Urbana;NO;1;2;12;47;2005
80172815;M;No Urbana;NO;5;5;12;64;2002
80174176;M;No Urbana;NO;4;5;13;47;2001
80173956;M;No Urbana;SI;2;2;3;60;2001
80172300;M;Urbana;NO;4;2;1;74;2014
80172501;M;No Urbana;SI;5;1;1;54;2012
80172717;M;No Urbana;SI;4;5;1;62;2009
80172299;M;Urbana;NO;3;4;14;74;2009
80172255;M;Urbana;SI;3;5;13;52;2014
1434991;M;Urbana;NO;3;3;12;44;2014
80175384;M;Urbana;NO;5;1;12;47;2007
80175589;M;No Urbana;NO;4;3;2;62;2009
80174544;M;Urbana;SI;0;2;11;45;2014
80174543;M;Urbana;NO;1;3;2;45;2013
80175098;M;Urbana;SI;1;1;12;67;2011
80175509;M;No Urbana;NO;4;0;5;44;2014
80175614;M;No Urbana;NO;5;1;2;61;2011
80174375;M;Urbana;NO;5;4;9;62;2009
80174350;M;No Urbana;NO;5;3;4;61;2011
1435091;M;No Urbana;SI;2;3;9;61;2011
80173719;M;Urbana;NO;3;0;6;49;2010
80173284;M;No Urbana;NO;2;3;2;45;2014
80173283;M;Urbana;NO;5;5;10;45;2013
80174716;M;No Urbana;NO;1;5;9;24;2011
80174300;M;Urbana;SI;4;5;12;44;2014
80172177;M;Urbana;NO;0;3;5;47;2007
80172806;M;Urbana;NO;5;1;5;61;2011
80174167;M;No Urbana;NO;3;0;6;47;2007
1435370;F;Urbana;SI;5;5;7;43;2008
1434015;M;No Urbana;NO;0;1;7;81;2007
80175491;F;Urbana;NO;1;0;12;43;2008
80174682;M;No Urbana;NO;5;5;7;81;2007
80172709;F;Urbana;NO;2;5;12;43;2008
80174310;F;Urbana;NO;1;3;7;43;2008
80173407;M;Urbana;NO;1;4;14;81;2007
80172892;M;No Urbana;NO;1;2;13;50;2012
80174147;M;No Urbana;NO;5;4;4;55;2009
80175352;F;No Urbana;SI;3;3;3;56;2007
80172274;F;No Urbana;NO;4;2;14;41;2008
80174193;F;No Urbana;NO;4;3;1;56;2007
1435909;F;Urbana;SI;1;3;10;50;2010
80175096;M;No Urbana;NO;3;4;7;49;2004
1434313;F;No Urbana;NO;2;2;4;50;2008
1432373;F;Urbana;SI;1;1;13;50;2008
1430777;F;Urbana;SI;2;4;1;50;2008
80173228;F;Urbana;SI;1;5;1;63;2006
1433906;M;Urbana;NO;2;5;9;58;2008
80174768;M;No Urbana;SI;1;4;13;58;2008
80173703;M;No Urbana;SI;2;4;14;58;2008
1434101;M;No Urbana;NO;3;0;4;53;2006
1434001;M;No Urbana;NO;4;4;7;54;2005
80172464;F;Urbana;NO;2;3;3;54;2008
80172385;F;Urbana;NO;0;1;6;67;2008
1435507;M;Urbana;SI;2;1;7;60;1986
1434579;M;Urbana;NO;4;4;15;52;2009
80173056;M;No Urbana;NO;5;3;1;50;2007
80172291;F;No Urbana;NO;0;4;4;61;2007
80172628;F;Urbana;SI;3;0;13;59;2007
80174003;F;No Urbana;NO;3;2;9;47;2007
1434467;M;Urbana;SI;4;5;3;71;2007
1432379;M;No Urbana;NO;1;3;2;44;2012
80175177;M;Urbana;NO;5;4;0;71;2007
1434360;M;No Urbana;NO;1;2;6;44;2012
1430884;M;No Urbana;SI;1;3;1;44;2012
80173911;M;No Urbana;SI;5;1;5;71;2007
1434661;M;Urbana;SI;1;1;9;49;2013
80172535;F;No Urbana;SI;0;0;5;35;2007
1434049;F;Urbana;SI;0;0;5;21;2012
1436175;F;Urbana;NO;2;1;0;29;2011
1432399;F;Urbana;NO;1;1;14;36;2012
1434369;F;Urbana;NO;5;5;5;36;2012
1433494;F;No Urbana;NO;3;3;3;44;2012
1433928;F;No Urbana;NO;0;2;12;56;2011
